Date,Adj Close_BBVA.MC,Close_BBVA.MC,Dividends_BBVA.MC,High_BBVA.MC,Low_BBVA.MC,Open_BBVA.MC,Stock Splits_BBVA.MC,Volume_BBVA.MC,tasa_interes,inflacion,PIB,desempleo,tipo_cambio,liquidez_M2,materias_primas,politica_monetaria,sentimiento_global,inflacion_eurozona,desempleo_espana,"('VIX', '^VIX')"
2003-03-07,2.2649056911468506,6.975000858306885,0.0,7.234402179718018,6.975000858306885,6.975000858306885,0.0,27860651,1.24,182.6,14614.141,5.8,1.1014,5812.1,67.0552199130888,4.05,8.34,80.93,11.6,31.079999923706055
2003-03-10,2.2087512016296387,6.802066802978516,0.0,7.071074962615967,6.7828521728515625,6.802066802978516,0.0,18614015,1.24,182.6,14614.141,5.8,1.1062,5812.1,67.0552199130888,4.05,8.38,80.93,11.6,33.310001373291016
2003-03-11,2.2087512016296387,6.802066802978516,0.0,6.946178913116455,6.74442195892334,6.802066802978516,0.0,38564912,1.24,182.6,14614.141,5.8,1.1028,5812.1,67.0552199130888,4.05,8.33,80.93,11.6,33.61000061035156
2003-03-12,2.1494765281677246,6.619525909423828,0.0,6.85971212387085,6.561881065368652,6.619525909423828,0.0,30901359,1.24,182.6,14614.141,5.8,1.1023,5812.1,67.0552199130888,4.05,8.32,80.93,11.6,33.5099983215332
2003-03-13,2.2649056911468506,6.975000858306885,0.0,6.975000858306885,6.6771697998046875,6.975000858306885,0.0,23338133,1.24,182.6,14614.141,5.8,1.087,5812.1,67.0552199130888,4.05,8.16,80.93,11.6,31.760000228881836
2003-03-14,2.4177730083465576,7.445765972137451,0.0,7.445765972137451,7.023037910461426,7.445765972137451,0.0,36305504,1.24,182.6,14614.141,5.8,1.0725,5812.1,67.0552199130888,4.05,8.17,80.93,11.6,30.979999542236328
2003-03-17,2.492644786834717,7.67634391784668,0.0,7.705165863037109,7.119112968444824,7.67634391784668,0.0,25715524,1.24,182.6,14614.141,5.8,1.0606,5812.1,67.0552199130888,4.05,8.04,80.93,11.6,31.75
2003-03-18,2.4988842010498047,7.695559024810791,0.0,7.926137924194336,7.599484920501709,7.695559024810791,0.0,44936619,1.24,182.6,14614.141,5.8,1.0624,5812.1,67.0552199130888,4.05,7.91,80.93,11.6,30.43000030517578
2003-03-19,2.539440870285034,7.820456027984619,0.0,7.954959869384766,7.618699073791504,7.820456027984619,0.0,20876073,1.24,182.6,14614.141,5.8,1.059,5812.1,67.0552199130888,4.05,7.88,80.93,11.6,31.540000915527344
2003-03-20,2.5176026821136475,7.753203868865967,0.0,7.8396711349487305,7.5130181312561035,7.753203868865967,0.0,25420624,1.24,182.6,14614.141,5.8,1.0613,5812.1,67.0552199130888,4.05,7.84,80.93,11.6,30.440000534057617
2003-03-21,2.6455116271972656,8.147109031677246,0.0,8.185538291931152,7.801240921020508,8.147109031677246,0.0,41673169,1.24,182.6,14614.141,5.8,1.0545,5812.1,67.0552199130888,4.05,7.69,80.93,11.6,28.670000076293945
2003-03-24,2.48640513420105,7.657128810882568,0.0,8.041426658630371,7.637914180755615,7.657128810882568,0.0,34305563,1.24,182.6,14614.141,5.8,1.0644,5812.1,67.0552199130888,4.05,7.81,80.93,11.6,30.389999389648438
2003-03-25,2.545680284500122,7.8396711349487305,0.0,7.86849308013916,7.407336235046387,7.8396711349487305,0.0,22380421,1.24,182.6,14614.141,5.8,1.0673,5812.1,67.0552199130888,4.05,7.8,80.93,11.6,28.75
2003-03-26,2.545680284500122,7.8396711349487305,0.0,8.012603759765625,7.7339887619018555,7.8396711349487305,0.0,37506224,1.24,182.6,14614.141,5.8,1.0677,5812.1,67.0552199130888,4.05,7.78,80.93,11.6,28.229999542236328
2003-03-27,2.4988842010498047,7.695559024810791,0.0,7.791633129119873,7.637914180755615,7.695559024810791,0.0,32848388,1.24,182.6,14614.141,5.8,1.0708,5812.1,67.0552199130888,4.05,7.76,80.93,11.6,27.959999084472656
2003-03-28,2.502004861831665,7.705165863037109,0.0,7.772418022155762,7.522624969482422,7.705165863037109,0.0,42572516,1.24,182.6,14614.141,5.8,1.0762,5812.1,67.0552199130888,4.05,7.75,80.93,11.6,27.75
2003-03-31,2.3803343772888184,7.330475807189941,0.0,7.493803024291992,7.292046070098877,7.330475807189941,0.0,38173594,1.24,182.6,14614.141,5.8,1.09,5812.1,67.0552199130888,4.05,7.72,80.93,11.6,29.149999618530273
2003-04-01,2.4271316528320312,7.474587917327881,0.0,7.570662021636963,7.368906021118164,7.474587917327881,0.0,29454006,1.26,183.2,14743.567,6.0,1.0904,5905.5,63.1125094945253,3.96,7.61,81.05,11.4,28.360000610351562
2003-04-02,2.5987143516540527,8.002997398376465,0.0,8.002997398376465,7.618699073791504,8.002997398376465,0.0,54230250,1.26,183.2,14743.567,6.0,1.0765,5905.5,63.1125094945253,3.96,7.36,81.05,11.4,28.020000457763672
2003-04-03,2.6642284393310547,8.204752922058105,0.0,8.33925724029541,7.954959869384766,8.204752922058105,0.0,36339678,1.26,183.2,14743.567,6.0,1.0736,5905.5,63.1125094945253,3.96,7.31,81.05,11.4,28.209999084472656
2003-04-04,2.745340585708618,8.454546928405762,0.0,8.560229301452637,8.031819343566895,8.454546928405762,0.0,54584596,1.26,183.2,14743.567,6.0,1.0711,5905.5,63.1125094945253,3.96,7.24,81.05,11.4,29.1299991607666
2003-04-07,2.807734966278076,8.646696090698242,0.0,8.963741302490234,8.617873191833496,8.646696090698242,0.0,164538465,1.26,183.2,14743.567,6.0,1.0621,5905.5,63.1125094945253,3.96,7.11,81.05,11.4,28.450000762939453
2003-04-08,2.742220878601074,8.444938659667969,0.0,8.742770195007324,8.435332298278809,8.444938659667969,0.0,32710801,1.26,183.2,14743.567,6.0,1.0684,5905.5,63.1125094945253,3.96,7.21,81.05,11.4,27.1299991607666
2003-04-09,2.792135715484619,8.598657608032227,0.0,8.771592140197754,8.233575820922852,8.598657608032227,0.0,60058400,1.26,183.2,14743.567,6.0,1.0722,5905.5,63.1125094945253,3.96,7.31,81.05,11.4,27.110000610351562
2003-04-10,2.769477128982544,8.454546928405762,0.074938,8.617873191833496,8.329649925231934,8.454546928405762,0.0,38971975,1.26,183.2,14743.567,6.0,1.0803,5905.5,63.1125094945253,3.96,7.28,81.05,11.4,25.600000381469727
2003-04-11,2.797800064086914,8.541013717651367,0.0,8.694732666015625,8.483368873596191,8.541013717651367,0.0,70305829,1.26,183.2,14743.567,6.0,1.0751,5905.5,63.1125094945253,3.96,7.21,81.05,11.4,24.440000534057617
2003-04-14,2.816683530807495,8.598657608032227,0.0,8.627481460571289,8.358471870422363,8.598657608032227,0.0,30272492,1.26,183.2,14743.567,6.0,1.0773,5905.5,63.1125094945253,3.96,7.12,81.05,11.4,23.40999984741211
2003-04-15,2.8733339309692383,8.771592140197754,0.0,8.8004150390625,8.589051246643066,8.771592140197754,0.0,24639939,1.26,183.2,14743.567,6.0,1.0801,5905.5,63.1125094945253,3.96,7.07,81.05,11.4,22.559999465942383
2003-04-16,2.829272747039795,8.63708782196045,0.0,8.915703773498535,8.63708782196045,8.63708782196045,0.0,26850678,1.26,183.2,14743.567,6.0,1.0872,5905.5,63.1125094945253,3.96,7.05,81.05,11.4,22.520000457763672
2003-04-17,2.907949924468994,8.877273559570312,0.0,8.886881828308105,8.492976188659668,8.877273559570312,0.0,32239512,1.26,183.2,14743.567,6.0,1.0907,5905.5,63.1125094945253,3.96,6.97,81.05,11.4,21.5
2003-04-18,2.907949924468994,8.877273559570312,0.0,8.877273559570312,8.877273559570312,8.877273559570312,0.0,0,1.26,183.2,14743.567,6.0,1.0882,5905.5,63.1125094945253,3.96,6.97,81.05,11.4,21.5
2003-04-21,2.907949924468994,8.877273559570312,0.0,8.877273559570312,8.877273559570312,8.877273559570312,0.0,0,1.26,183.2,14743.567,6.0,1.0857,5905.5,63.1125094945253,3.96,6.92,81.05,11.4,21.950000762939453
2003-04-22,2.91424560546875,8.896489143371582,0.0,8.973347663879395,8.723554611206055,8.896489143371582,0.0,15983207,1.26,183.2,14743.567,6.0,1.0966,5905.5,63.1125094945253,3.96,6.86,81.05,11.4,20.700000762939453
2003-04-23,2.945716619491577,8.992563247680664,0.0,9.155890464782715,8.963741302490234,8.992563247680664,0.0,80465888,1.26,183.2,14743.567,6.0,1.0949,5905.5,63.1125094945253,3.96,6.71,81.05,11.4,20.799999237060547
2003-04-24,2.9110991954803467,8.886881828308105,0.0,9.232748985290527,8.877273559570312,8.886881828308105,0.0,23443535,1.26,183.2,14743.567,6.0,1.1039,5905.5,63.1125094945253,3.96,6.69,81.05,11.4,20.329999923706055
2003-04-25,2.8890678882598877,8.819628715515137,0.0,9.02138614654541,8.713948249816895,8.819628715515137,0.0,16751013,1.26,183.2,14743.567,6.0,1.104,5905.5,63.1125094945253,3.96,6.68,81.05,11.4,20.799999237060547
2003-04-28,3.0023648738861084,9.165496826171875,0.0,9.165496826171875,8.713948249816895,9.165496826171875,0.0,22930845,1.26,183.2,14743.567,6.0,1.0999,5905.5,63.1125094945253,3.96,6.64,81.05,11.4,20.84000015258789
2003-04-29,2.91424560546875,8.896489143371582,0.0,9.261571884155273,8.896489143371582,8.896489143371582,0.0,30205790,1.26,183.2,14743.567,6.0,1.101,5905.5,63.1125094945253,3.96,6.55,81.05,11.4,20.760000228881836
2003-04-30,2.8387131690979004,8.665909767150879,0.0,9.040600776672363,8.60826587677002,8.665909767150879,0.0,76415960,1.26,183.2,14743.567,6.0,1.118,5905.5,63.1125094945253,3.96,6.44,81.05,11.4,21.209999084472656
2003-05-01,2.8387131690979004,8.665909767150879,0.0,8.665909767150879,8.665909767150879,8.665909767150879,0.0,0,1.26,182.9,14743.567,6.1,1.1238,5965.3,63.1125094945253,3.57,6.37,81.0,11.3,21.59000015258789
