Date,Close_BBVA.MC,Dividends_BBVA.MC,High_BBVA.MC,Low_BBVA.MC,Open_BBVA.MC,Stock Splits_BBVA.MC,Volume_BBVA.MC,tasa_interes,inflacion,PIB,desempleo,tipo_cambio,liquidez_M2,materias_primas,politica_monetaria,sentimiento_global,inflacion_eurozona,desempleo_espana,"('VIX', '^VIX')"
2003-01-01,2.819042921066284,0.0,2.819042921066284,2.819042921066284,2.819042921066284,0.0,0,1.24,182.6,14614.141,5.8,1.0485,5812.1,67.0552199130888,4.05,8.9,80.14,11.7,28.6200008392334
2003-01-02,2.967411994934082,0.0,2.9674119949340816,2.819041471895096,2.9674119949340816,0.0,39035426,1.24,182.6,14614.141,5.8,1.0361,5812.1,67.0552199130888,4.05,8.65,80.14,11.7,25.389999389648438
2003-01-03,2.948866128921509,0.0,3.0199603889146998,2.939593084638847,2.948866128921509,0.0,61596325,1.24,182.6,14614.141,5.8,1.0418,5812.1,67.0552199130888,4.05,8.57,80.14,11.7,24.68000030517578
2003-01-06,2.948866128921509,0.0,2.948866128921509,2.948866128921509,2.948866128921509,0.0,0,1.24,182.6,14614.141,5.8,1.0469,5812.1,67.0552199130888,4.05,8.41,80.14,11.7,24.90999984741211
2003-01-07,2.9983227252960205,0.0,3.060143935780528,2.98904968179725,2.9983227252960205,0.0,147673836,1.24,182.6,14614.141,5.8,1.0419,5812.1,67.0552199130888,4.05,8.26,80.14,11.7,25.1299991607666
2003-01-08,3.013779401779175,0.0,3.0817823567776306,2.9859599553105336,3.0137794017791752,0.0,26235434,1.24,182.6,14614.141,5.8,1.0447,5812.1,67.0552199130888,4.05,8.18,80.14,11.7,25.530000686645508
2003-01-09,3.0292348861694336,0.0,3.04159894989105,2.9179567785196743,3.029234886169434,0.0,51974244,1.24,182.6,14614.141,5.8,1.0467,5812.1,67.0552199130888,4.05,7.95,80.14,11.7,24.25
2003-01-10,3.0604312419891357,0.086467,3.0853888736098196,2.982438681883864,3.0604312419891357,0.0,58256105,1.24,182.6,14614.141,5.8,1.0535,5812.1,67.0552199130888,4.05,7.92,80.14,11.7,24.31999969482422
2003-01-13,3.1976993083953857,0.0,3.1976993083953857,3.0760304701835426,3.1976993083953857,0.0,75819023,1.24,182.6,14614.141,5.8,1.0535,5812.1,67.0552199130888,4.05,7.92,80.14,11.7,24.899999618530273
2003-01-14,3.163382053375244,0.0,3.2039380151861727,3.1384241096339585,3.163382053375244,0.0,20664522,1.24,182.6,14614.141,5.8,1.0571,5812.1,67.0552199130888,4.05,7.96,80.14,11.7,24.56999969482422
2003-01-15,3.1976993083953857,0.0,3.241375253957326,3.141544698201474,3.1976993083953857,0.0,27315234,1.24,182.6,14614.141,5.8,1.0576,5812.1,67.0552199130888,4.05,7.96,80.14,11.7,25.510000228881836
2003-01-16,3.1976993083953857,0.0,3.2101779730273567,3.129065723894482,3.1976993083953857,0.0,19181005,1.24,182.6,14614.141,5.8,1.0569,5812.1,67.0552199130888,4.05,7.99,80.14,11.7,25.010000228881836
2003-01-17,3.0042757987976074,0.0,3.157141535973937,2.9855578107014185,3.0042757987976074,0.0,39571644,1.24,182.6,14614.141,5.8,1.066,5812.1,67.0552199130888,4.05,8.1,80.14,11.7,25.700000762939453
2003-01-20,2.935643196105957,0.0,3.019875089917583,2.913804919218755,2.935643196105957,0.0,18002319,1.24,182.6,14614.141,5.8,1.066,5812.1,67.0552199130888,4.05,8.11,80.14,11.7,25.700000762939453
2003-01-21,2.9013278484344482,0.0,3.0042777798752436,2.8545319183112308,2.9013278484344482,0.0,103354874,1.24,182.6,14614.141,5.8,1.0677,5812.1,67.0552199130888,4.05,8.12,80.14,11.7,27.59000015258789
2003-01-22,2.8233330249786377,0.0,2.9106848731075443,2.807734701866239,2.8233330249786377,0.0,53368231,1.24,182.6,14614.141,5.8,1.0729,5812.1,67.0552199130888,4.05,8.23,80.14,11.7,29.010000228881836
2003-01-23,2.8202149868011475,0.0,2.8950879099451985,2.810855987536284,2.820214986801148,0.0,24901272,1.24,182.6,14614.141,5.8,1.0767,5812.1,67.0552199130888,4.05,8.16,80.14,11.7,27.530000686645508
2003-01-24,2.7172627449035645,0.0,2.8670084803517457,2.7172627449035645,2.7172627449035645,0.0,28765694,1.24,182.6,14614.141,5.8,1.0825,5812.1,67.0552199130888,4.05,8.21,80.14,11.7,31.510000228881836
2003-01-27,2.63615083694458,0.0,2.748460318830793,2.6174328480259508,2.63615083694458,0.0,31386546,1.24,182.6,14614.141,5.8,1.0838,5812.1,67.0552199130888,4.05,8.29,80.14,11.7,34.689998626708984
2003-01-28,2.57999587059021,0.0,2.6923051878266437,2.56127788330695,2.57999587059021,0.0,28500262,1.24,182.6,14614.141,5.8,1.0833,5812.1,67.0552199130888,4.05,8.25,80.14,11.7,31.93000030517578
2003-01-29,2.5581581592559814,0.0,2.5955949116707226,2.4676869495148175,2.5581581592559814,0.0,29208178,1.24,182.6,14614.141,5.8,1.0861,5812.1,67.0552199130888,4.05,8.24,80.14,11.7,31.260000228881836
2003-01-30,2.601834297180176,0.0,2.6049542721456223,2.511363074730516,2.601834297180176,0.0,34114690,1.24,182.6,14614.141,5.8,1.0776,5812.1,67.0552199130888,4.05,8.25,80.14,11.7,31.31999969482422
2003-01-31,2.5176026821136475,0.0,2.542560160484272,2.4926448940680737,2.5176026821136475,0.0,31448271,1.24,182.6,14614.141,5.8,1.0739,5812.1,67.0552199130888,4.05,8.29,80.14,11.7,31.170000076293945
2003-02-03,2.5706369876861572,0.0,2.5831158012499884,2.545679515395932,2.5706369876861572,0.0,20289667,1.24,182.6,14614.141,5.8,1.0761,5812.1,67.0552199130888,4.05,8.21,80.46,11.7,31.020000457763672
2003-02-04,2.448969602584839,0.0,2.564398640521318,2.445849626844992,2.448969602584839,0.0,25213609,1.24,182.6,14614.141,5.8,1.0875,5812.1,67.0552199130888,4.05,8.28,80.46,11.7,32.7599983215332
2003-02-05,2.548799991607666,0.0,2.548799991607666,2.4084131696593714,2.548799991607666,0.0,31578297,1.24,182.6,14614.141,5.8,1.0842,5812.1,67.0552199130888,4.05,8.23,80.46,11.7,33.040000915527344
2003-02-06,2.448969602584839,0.0,2.5238423623284287,2.420892143488799,2.448969602584839,0.0,20204370,1.24,182.6,14614.141,5.8,1.0828,5812.1,67.0552199130888,4.05,8.35,80.46,11.7,33.349998474121094
2003-02-07,2.4115328788757324,0.0,2.4676876360265063,2.358497787445144,2.4115328788757324,0.0,20234226,1.24,182.6,14614.141,5.8,1.0801,5812.1,67.0552199130888,4.05,8.39,80.46,11.7,34.0099983215332
2003-02-10,2.3803343772888184,0.0,2.4240102942436255,2.3460176075153854,2.3803343772888184,0.0,32759752,1.24,182.6,14614.141,5.8,1.074,5812.1,67.0552199130888,4.05,8.35,80.46,11.7,33.9900016784668
2003-02-11,2.4396095275878906,0.0,2.4520880315019276,2.39905326729585,2.4396095275878906,0.0,25797440,1.24,182.6,14614.141,5.8,1.0747,5812.1,67.0552199130888,4.05,8.37,80.46,11.7,33.68000030517578
2003-02-12,2.358497142791748,0.0,2.408412400021212,2.352257658219342,2.358497142791748,0.0,20690714,1.24,182.6,14614.141,5.8,1.0716,5812.1,67.0552199130888,4.05,8.5,80.46,11.7,34.33000183105469
2003-02-13,2.358497142791748,0.0,2.392813920846366,2.317940880164724,2.358497142791748,0.0,21979211,1.24,182.6,14614.141,5.8,1.0834,5812.1,67.0552199130888,4.05,8.69,80.46,11.7,33.70000076293945
2003-02-14,2.467686891555786,0.0,2.502003358962455,2.3584970759156456,2.467686891555786,0.0,30353047,1.24,182.6,14614.141,5.8,1.0799,5812.1,67.0552199130888,4.05,8.62,80.46,11.7,32.619998931884766
2003-02-17,2.533200979232788,0.0,2.542559974874502,2.508243193009161,2.533200979232788,0.0,13099077,1.24,182.6,14614.141,5.8,1.0799,5812.1,67.0552199130888,4.05,8.58,80.46,11.7,32.619998931884766
2003-02-18,2.5737574100494385,0.0,2.5893558919484585,2.508243352528629,2.5737574100494385,0.0,27030170,1.24,182.6,14614.141,5.8,1.0708,5812.1,67.0552199130888,4.05,8.56,80.46,11.7,31.110000610351562
2003-02-19,2.4739255905151367,0.0,2.5550380978704417,2.4739255905151367,2.4739255905151367,0.0,25567955,1.24,182.6,14614.141,5.8,1.0744,5812.1,67.0552199130888,4.05,8.53,80.46,11.7,31.309999465942383
2003-02-20,2.4583287239074707,0.0,2.5332017970761727,2.436490750684829,2.4583287239074707,0.0,17729174,1.24,182.6,14614.141,5.8,1.0821,5812.1,67.0552199130888,4.05,8.51,80.46,11.7,31.15999984741211
2003-02-21,2.5207228660583496,0.0,2.5207228660583496,2.42401182393703,2.5207228660583496,0.0,20789821,1.24,182.6,14614.141,5.8,1.0787,5812.1,67.0552199130888,4.05,8.42,80.46,11.7,30.25
2003-02-24,2.4396095275878906,0.0,2.5519185402132214,2.43025022384941,2.4396095275878906,0.0,14860041,1.24,182.6,14614.141,5.8,1.0783,5812.1,67.0552199130888,4.05,8.41,80.46,11.7,31.979999542236328
2003-02-25,2.3428988456726074,0.0,2.414652072224931,2.3397793354001712,2.3428988456726074,0.0,19825408,1.24,182.6,14614.141,5.8,1.0782,5812.1,67.0552199130888,4.05,8.45,80.46,11.7,31.739999771118164
2003-02-26,2.3335397243499756,0.0,2.405292947028185,2.3117017600848775,2.3335397243499756,0.0,24277730,1.24,182.6,14614.141,5.8,1.0797,5812.1,67.0552199130888,4.05,8.44,80.46,11.7,31.940000534057617
2003-02-27,2.4021730422973633,0.0,2.4177718319708075,2.3148213375331284,2.4021730422973633,0.0,24519969,1.24,182.6,14614.141,5.8,1.0763,5812.1,67.0552199130888,4.05,8.4,80.46,11.7,30.530000686645508
2003-02-28,2.467686891555786,0.0,2.48640488022991,2.3647365603111288,2.467686891555786,0.0,26770419,1.24,182.6,14614.141,5.8,1.0779,5812.1,67.0552199130888,4.05,8.38,80.46,11.7,29.6299991607666
2003-03-03,2.5113637447357178,0.0,2.5862366607081158,2.4770469528723247,2.5113637447357178,0.0,27004815,1.24,182.6,14614.141,5.8,1.0835,5812.1,67.0552199130888,4.05,8.29,80.93,11.6,30.43000030517578
2003-03-04,2.430250644683838,0.0,2.4801659076830624,2.4052931680216894,2.430250644683838,0.0,15697130,1.24,182.6,14614.141,5.8,1.0883,5812.1,67.0552199130888,4.05,8.31,80.93,11.6,31.829999923706055
2003-03-05,2.4177730083465576,0.0,2.4271320079968595,2.3740969024574996,2.4177730083465576,0.0,16756287,1.24,182.6,14614.141,5.8,1.0967,5812.1,67.0552199130888,4.05,8.33,80.93,11.6,30.3799991607666
2003-03-06,2.3397796154022217,0.0,2.439610149565259,2.327300643794365,2.3397796154022217,0.0,18771302,1.24,182.6,14614.141,5.8,1.0997,5812.1,67.0552199130888,4.05,8.31,80.93,11.6,31.3700008392334
2003-03-07,2.2649056911468506,0.0,2.34913787134155,2.2649056911468506,2.2649056911468506,0.0,27860651,1.24,182.6,14614.141,5.8,1.1014,5812.1,67.0552199130888,4.05,8.34,80.93,11.6,31.079999923706055
2003-03-10,2.2087512016296387,0.0,2.2961029012023655,2.2025118719360237,2.2087512016296387,0.0,18614015,1.24,182.6,14614.141,5.8,1.1062,5812.1,67.0552199130888,4.05,8.38,80.93,11.6,33.310001373291016
2003-03-11,2.2087512016296387,0.0,2.2555469485189774,2.190032902873903,2.2087512016296387,0.0,38564912,1.24,182.6,14614.141,5.8,1.1028,5812.1,67.0552199130888,4.05,8.33,80.93,11.6,33.61000061035156
2003-03-12,2.1494765281677246,0.0,2.2274692178871414,2.130758233087092,2.1494765281677246,0.0,30901359,1.24,182.6,14614.141,5.8,1.1023,5812.1,67.0552199130888,4.05,8.32,80.93,11.6,33.5099983215332
2003-03-13,2.2649056911468506,0.0,2.2649056911468506,2.168194698115423,2.2649056911468506,0.0,23338133,1.24,182.6,14614.141,5.8,1.087,5812.1,67.0552199130888,4.05,8.16,80.93,11.6,31.760000228881836
2003-03-14,2.4177730083465576,0.0,2.4177730083465576,2.2805056672542414,2.4177730083465576,0.0,36305504,1.24,182.6,14614.141,5.8,1.0725,5812.1,67.0552199130888,4.05,8.17,80.93,11.6,30.979999542236328
2003-03-17,2.492644786834717,0.0,2.5020037827570247,2.3117020312788763,2.492644786834717,0.0,25715524,1.24,182.6,14614.141,5.8,1.0606,5812.1,67.0552199130888,4.05,8.04,80.93,11.6,31.75
2003-03-18,2.4988842010498047,0.0,2.5737572501560924,2.46768723918986,2.4988842010498047,0.0,44936619,1.24,182.6,14614.141,5.8,1.0624,5812.1,67.0552199130888,4.05,7.91,80.93,11.6,30.43000030517578
2003-03-19,2.539440870285034,0.0,2.5831166547712097,2.47392680646205,2.539440870285034,0.0,20876073,1.24,182.6,14614.141,5.8,1.059,5812.1,67.0552199130888,4.05,7.88,80.93,11.6,31.540000915527344
2003-03-20,2.5176026821136475,0.0,2.545680135600865,2.4396101170477063,2.5176026821136475,0.0,25420624,1.24,182.6,14614.141,5.8,1.0613,5812.1,67.0552199130888,4.05,7.84,80.93,11.6,30.440000534057617
2003-03-21,2.6455116271972656,0.0,2.6579902934862534,2.533202082221067,2.6455116271972656,0.0,41673169,1.24,182.6,14614.141,5.8,1.0545,5812.1,67.0552199130888,4.05,7.69,80.93,11.6,28.670000076293945
2003-03-24,2.48640513420105,0.0,2.611193441320101,2.480165804005699,2.48640513420105,0.0,34305563,1.24,182.6,14614.141,5.8,1.0644,5812.1,67.0552199130888,4.05,7.81,80.93,11.6,30.389999389648438
2003-03-25,2.545680284500122,0.0,2.5550392813724696,2.4052934733651004,2.545680284500122,0.0,22380421,1.24,182.6,14614.141,5.8,1.0673,5812.1,67.0552199130888,4.05,7.8,80.93,11.6,28.75
2003-03-26,2.545680284500122,0.0,2.601834575409176,2.511363343284912,2.545680284500122,0.0,37506224,1.24,182.6,14614.141,5.8,1.0677,5812.1,67.0552199130888,4.05,7.78,80.93,11.6,28.229999542236328
2003-03-27,2.4988842010498047,0.0,2.5300811629097493,2.480165900063867,2.4988842010498047,0.0,32848388,1.24,182.6,14614.141,5.8,1.0708,5812.1,67.0552199130888,4.05,7.76,80.93,11.6,27.959999084472656
