Price,Close,High,Low,Open,Volume
Ticker,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC
Date,,,,,
2000-01-03,2.6591198444366455,2.696506164500991,2.6287431697295984,2.6871597132203564,8797337
2000-01-04,2.596029281616211,2.640425750607831,2.572662773193429,2.626405948542497,8811013
2000-01-05,2.5329396724700928,2.5796726895940596,2.5119097117759717,2.546959474618947,9333517
2000-01-06,2.5329396724700928,2.5329396724700928,2.5329396724700928,2.5329396724700928,0
2000-01-07,2.6450998783111572,2.652109781396428,2.549297011242745,2.551633559780864,9603132
2000-01-10,2.621734857559204,2.668467914728947,2.5983680715032724,2.668467914728947,6747710
2000-01-11,2.5329396724700928,2.621732610982302,2.488542688272309,2.617059257775737,15293569
2000-01-12,2.5095725059509277,2.5095725059509277,2.4675125912747538,2.5048988960193546,12052290
2000-01-13,2.4885427951812744,2.5259296224399472,2.455829578800787,2.5235930744717052,11043549
2000-01-14,2.5539700984954834,2.572663516612188,2.48153348949962,2.5002269076163253,15745712
2000-01-17,2.4862067699432373,2.5983665028885228,2.4651768039240647,2.593693405969511,31619384
2000-01-18,2.3600263595581055,2.4768591462669822,2.346006301567052,2.4768591462669822,20093136
2000-01-19,2.3600263595581055,2.362362907154543,2.3062831901319467,2.3389964013069293,20666919
2000-01-20,2.409097194671631,2.448820322898125,2.3740474210842977,2.3833938728917023,11769910
2000-01-21,2.3343231678009033,2.4464828650421997,2.3203033665650055,2.4254529057175302,18255137
2000-01-24,2.3600263595581055,2.4067596287241417,2.336659853710492,2.3600263595581055,9894501
2000-01-25,2.3600263595581055,2.36469971222179,2.322639795719438,2.336659853710492,15844637
2000-01-26,2.4207797050476074,2.4277896061063786,2.3600266284396336,2.39040329547904,22642896
2000-01-27,2.4277899265289307,2.4488198899516425,2.3950767073093515,2.4464833417806178,50176740
2000-01-28,2.3530168533325195,2.439472990940735,2.3436701464399574,2.439472990940735,13102872
2000-01-31,2.3659393787384033,2.4011816330647187,2.3377455235003803,2.3729877778266952,49721466
2000-02-01,2.3941335678100586,2.6549272181748638,2.3565416692893293,2.6549272181748638,11642759
2000-02-02,2.3941335678100586,2.4176284073036793,2.361240688965032,2.4152790269082742,10673286
2000-02-03,2.427025318145752,2.4528695260178335,2.3729870053290463,2.401180851388899,11396777
2000-02-04,2.4481709003448486,2.4763647479355964,2.422326432184669,2.4552192975213387,13899128
2000-02-07,2.5233547687530518,2.5233547687530518,2.459918414939922,2.476364848274645,12468731
2000-02-08,2.5656464099884033,2.5820928480583354,2.4951613795345553,2.5280545145592908,12234462
2000-02-09,2.5186567306518555,2.584442755230273,2.48106508644265,2.584442755230273,10918965
2000-02-10,2.4669673442840576,2.518656034958152,2.4340744705228565,2.497510838012967,9146146
2000-02-11,2.3330461978912354,2.4693164371534206,2.3142501242793325,2.466967057394344,17391741
2000-02-14,2.4458227157592773,2.542152248479131,2.3377462789045453,2.424677252776738,26742175
2000-02-15,2.48576283454895,2.5632965075837113,2.455219603718504,2.4787144364934344,21321476
2000-02-16,2.6102867126464844,2.6173351121588144,2.504559425537182,2.5445009601717503,33672600
2000-02-17,2.6079373359680176,2.650227991984121,2.5867918785175297,2.591490897827068,16808772
2000-02-18,2.542151927947998,2.6196851098514577,2.542151927947998,2.6102870699586425,18340717
2000-02-21,2.586792469024658,2.603238910919964,2.5139580414276397,2.525705721825656,8925338
2000-02-22,2.551548957824707,2.6196843386623994,2.5233551053309426,2.584441828881571,11592996
2000-02-23,2.6079373359680176,2.6079373359680176,2.5257051452632715,2.572694820588914,9405260
2000-02-24,2.537451982498169,2.6055870996573938,2.525704566359324,2.584441647053548,11082867
2000-02-25,2.5538995265960693,2.593840810600487,2.5257056638350144,2.5445014860474093,9944867
2000-02-28,2.5398027896881104,2.5750453167977962,2.5210069650785805,2.5609482541769304,9537525
2000-02-29,2.5609467029571533,2.607936624345623,2.5398012512765824,2.5515486669024994,7498301
2000-03-01,2.556248188018799,2.5773936438609555,2.5304039721093647,2.572694624908826,9141201
2000-03-02,2.5961897373199463,2.6032383959413603,2.563297118921159,2.570345518657694,14128833
2000-03-03,2.570344924926758,2.643179062406471,2.5609468881923365,2.6196842294552383,16796144
2000-03-06,2.5609467029571533,2.6126353834881484,2.5609467029571533,2.6126353834881484,12355814
2000-03-07,2.551548957824707,2.596189245846903,2.5421511795833394,2.5656460135140047,10034784
2000-03-08,2.5726938247680664,2.596188653336669,2.5374515819151626,2.539800961218114,9208349
2000-03-09,2.5914907455444336,2.61968460086005,2.5609472512696825,2.575044308369919,14804511
2000-03-10,2.6290829181671143,2.6290829181671147,2.5773942159895635,2.617335497621531,59945035
2000-03-13,2.6267340183258057,2.6267340183258057,2.6267340183258057,2.6267340183258057,0
2000-03-14,2.6525778770446777,2.6525778770446777,2.5985395383015244,2.6431798375541566,23476575
2000-03-15,2.673722982406616,2.6901691610099134,2.6079372324539825,2.61498563169609,33445529
2000-03-16,2.71836256980896,2.72541096722065,2.685469703374683,2.697217118689097,16516306
2000-03-17,2.7864983081817627,2.81939117894955,2.7301103448049644,2.7512560575954885,24520456
2000-03-20,2.784149408340454,2.8170420258939797,2.7724017305682773,2.7724017305682773,20072443
2000-03-21,2.748906135559082,2.788847663196754,2.6901687928861957,2.763003449883938,11023983
2000-03-22,2.7207131385803223,2.784149778553764,2.694868658260745,2.7489069994358126,12947772
2000-03-23,2.673722982406616,2.753605789728327,2.666674324279647,2.725411674990174,10456218
2000-03-24,2.7089641094207764,2.732458936367202,2.6549258003361955,2.671372230975644,5547595
2000-03-27,2.6831212043762207,2.7089656843737426,2.654927343872062,2.680771823869584,6323555
2000-03-28,2.7301104068756104,2.7465568426334235,2.6666740437162604,2.6713730623448977,7847503
2000-03-29,2.7042665481567383,2.734810046738668,2.6807717085613425,2.7042665481567383,5076510
2000-03-30,2.6690242290496826,2.697218087710356,2.647878770332955,2.6784220093466486,8482743
2000-03-31,2.6384801864624023,2.666674039302728,2.6384801864624023,2.6455285849512755,25821725
2000-04-03,2.6431796550750732,2.6713735127153018,2.6149857974348447,2.638480635654222,7839585
2000-04-04,2.671373128890991,2.725411456139206,2.6502276739777906,2.6525773127930576,21091401
2000-04-05,2.6267340183258057,2.7019178342386883,2.598540152079714,2.6760733489777055,12807044
2000-04-06,2.551548957824707,2.631431755627732,2.549199577985573,2.631431755627732,21512475
2000-04-07,2.6032376289367676,2.6102860265965986,2.565645743276332,2.5820921770724725,11061083
2000-04-10,2.6502273082733154,2.6525769467643565,2.5797425545837744,2.6102860427736707,8624985
2000-04-11,2.6102867126464844,2.6525776274902055,2.607937332437332,2.607937332437332,8956274
2000-04-12,2.6337811946868896,2.669023705260139,2.603237961667233,2.6525772693619123,7841431
2000-04-13,2.6972169876098633,2.7089644023533768,2.6243828608692086,2.6290816196587885,11700748
2000-04-14,2.6549267768859863,2.7254115425361105,2.6243835423980038,2.690169030268624,11107265
2000-04-17,2.6149849891662598,2.626732404644927,2.521005406452125,2.560946670856553,27652226
2000-04-18,2.5938398838043213,2.6455285705833913,2.553898614071184,2.631431773682205,9282542
2000-04-19,2.5632967948913574,2.6126358456949617,2.5632967948913574,2.6079370857211686,15705839
2000-04-20,2.6384801864624023,2.6525772423249823,2.560947026430298,2.577393462160891,22860411
2000-04-21,2.5914907455444336,2.5914907455444336,2.5914907455444336,2.5914907455444336,0
2000-04-24,2.5914907455444336,2.5914907455444336,2.5914907455444336,2.5914907455444336,0
2000-04-25,2.671373128890991,2.678421527567111,2.596189346729576,2.6149854217123503,11835006
2000-04-26,2.690168619155884,2.7136637100386274,2.657276009689661,2.6995666555089812,8248167
2000-04-27,2.6243839263916016,2.6901694238877987,2.600888828480581,2.6901694238877987,9681403
2000-04-28,2.694868326187134,2.70191698469612,2.6267331924226873,2.643179630802196,24653673
2000-05-01,2.5914907455444336,2.5914907455444336,2.5914907455444336,2.5914907455444336,0
2000-05-02,2.761042833328247,2.761042833328247,2.687824547299566,2.704357465200966,8099687
2000-05-03,2.645310163497925,2.7515947888436942,2.6405863618880794,2.7185284378249914,9926485
2000-05-04,2.7005324363708496,2.726659014744328,2.6530298521034608,2.6577799011616463,10449404
2000-05-05,2.6482787132263184,2.7290331859134906,2.6482787132263184,2.6957812826398055,7258987
2000-05-08,2.664905548095703,2.6744059081007494,2.6364039446591714,2.653029901806373,7733630
2000-05-09,2.619779109954834,2.619779109954834,2.619779109954834,2.619779109954834,0
2000-05-10,2.5033955574035645,2.6007762574939584,2.4891446274961964,2.5793999934882303,15409929
2000-05-11,2.562774181365967,2.562774181365967,2.446392496665062,2.470143786115261,11701615
2000-05-12,2.5461483001708984,2.586526073319749,2.50339602586976,2.553274159024032,6698074
2000-05-15,2.5223968029022217,2.5603992866828444,2.4938952017774305,2.550898665737689,11258936
2000-05-16,2.5509002208709717,2.584152152740081,2.539024306594145,2.5627758734369626,9471107
2000-05-17,2.4582698345184326,2.5580258946795085,2.4463941816140014,2.5532755811755674,15645770
2000-05-18,2.484393835067749,2.5105204039689246,2.4582675278771706,2.470143169638451,14660202
2000-05-19,2.4368913173675537,2.486769170801274,2.387013463933834,2.4820188616584526,12520528
2000-05-22,2.398890256881714,2.474894716211277,2.3893896340378364,2.434517199980162,8095259
2000-05-23,2.4107656478881836,2.4392672516742997,2.375138708583213,2.432141916155446,8648401
