Date,Adj Close_SAN.MC,Close_SAN.MC,Dividends_SAN.MC,High_SAN.MC,Low_SAN.MC,Open_SAN.MC,Stock Splits_SAN.MC,Volume_SAN.MC,tasa_interes,inflacion,PIB,desempleo,tipo_cambio,liquidez_M2,materias_primas,politica_monetaria,sentimiento_global,inflacion_eurozona,desempleo_espana,"('VIX', '^VIX')"
2003-01-22,1.626804232597351,5.4353461265563965,0.0,5.694995880126953,5.4353461265563965,5.4353461265563965,0.0,38981906,1.24,182.6,14614.141,5.8,1.0729,5812.1,67.0552199130888,4.05,8.23,80.14,11.7,29.010000228881836
2003-01-23,1.6397550106048584,5.478621006011963,0.0,5.651721000671387,5.444001197814941,5.478621006011963,0.0,68956794,1.24,182.6,14614.141,5.8,1.0767,5812.1,67.0552199130888,4.05,8.16,80.14,11.7,27.530000686645508
2003-01-24,1.603489875793457,5.35745096206665,0.0,5.625755786895752,5.322831153869629,5.35745096206665,0.0,41243112,1.24,182.6,14614.141,5.8,1.0825,5812.1,67.0552199130888,4.05,8.21,80.14,11.7,31.510000228881836
2003-01-27,1.5464996099472046,5.167040824890137,0.0,5.37476110458374,5.167040824890137,5.167040824890137,0.0,57069579,1.24,182.6,14614.141,5.8,1.0838,5812.1,67.0552199130888,4.05,8.29,80.14,11.7,34.689998626708984
2003-01-28,1.5387282371520996,5.14107608795166,0.0,5.279555797576904,5.063179969787598,5.14107608795166,0.0,165044583,1.24,182.6,14614.141,5.8,1.0833,5812.1,67.0552199130888,4.05,8.25,80.14,11.7,31.93000030517578
2003-01-29,1.5205950736999512,5.080491065979004,0.0,5.132421016693115,4.907390117645264,5.080491065979004,0.0,65553872,1.24,182.6,14614.141,5.8,1.0861,5812.1,67.0552199130888,4.05,8.24,80.14,11.7,31.260000228881836
2003-01-30,1.541318655014038,5.149731159210205,0.0,5.236280918121338,5.037215232849121,5.149731159210205,0.0,69215705,1.24,182.6,14614.141,5.8,1.0776,5812.1,67.0552199130888,4.05,8.25,80.14,11.7,31.31999969482422
2003-01-31,1.4895100593566895,4.976630210876465,0.0,5.097801208496094,4.907390117645264,4.976630210876465,0.0,46948958,1.24,182.6,14614.141,5.8,1.0739,5812.1,67.0552199130888,4.05,8.29,80.14,11.7,31.170000076293945
2003-02-03,1.5302257537841797,5.045869827270508,0.065022,5.1064558029174805,4.9939398765563965,5.045869827270508,0.0,56045927,1.24,182.6,14614.141,5.8,1.0761,5812.1,67.0552199130888,4.05,8.21,80.46,11.7,31.020000457763672
2003-02-04,1.469857096672058,4.846805095672607,0.0,5.063179969787598,4.846805095672607,4.846805095672607,0.0,209730598,1.24,182.6,14614.141,5.8,1.0875,5812.1,67.0552199130888,4.05,8.28,80.46,11.7,32.7599983215332
2003-02-05,1.5433510541915894,5.089146137237549,0.0,5.115110874176025,4.777565002441406,5.089146137237549,0.0,91711022,1.24,182.6,14614.141,5.8,1.0842,5812.1,67.0552199130888,4.05,8.23,80.46,11.7,33.040000915527344
2003-02-06,1.4882311820983887,4.907390117645264,0.0,5.071835994720459,4.855460166931152,4.907390117645264,0.0,35818910,1.24,182.6,14614.141,5.8,1.0828,5812.1,67.0552199130888,4.05,8.35,80.46,11.7,33.349998474121094
2003-02-07,1.4829812049865723,4.890079975128174,0.0,4.96797513961792,4.786220073699951,4.890079975128174,0.0,28886958,1.24,182.6,14614.141,5.8,1.0801,5812.1,67.0552199130888,4.05,8.39,80.46,11.7,34.0099983215332
2003-02-10,1.4357357025146484,4.73429012298584,0.0,4.93335485458374,4.73429012298584,4.73429012298584,0.0,29274590,1.24,182.6,14614.141,5.8,1.074,5812.1,67.0552199130888,4.05,8.35,80.46,11.7,33.9900016784668
2003-02-11,1.506603479385376,4.96797513961792,0.0,4.976630210876465,4.803530216217041,4.96797513961792,0.0,33214366,1.24,182.6,14614.141,5.8,1.0747,5812.1,67.0552199130888,4.05,8.37,80.46,11.7,33.68000030517578
2003-02-12,1.4619821310043335,4.820839881896973,0.0,4.898735046386719,4.794875144958496,4.820839881896973,0.0,29002382,1.24,182.6,14614.141,5.8,1.0716,5812.1,67.0552199130888,4.05,8.5,80.46,11.7,34.33000183105469
2003-02-13,1.4436101913452148,4.760254859924316,0.0,4.898735046386719,4.725635051727295,4.760254859924316,0.0,31751939,1.24,182.6,14614.141,5.8,1.0834,5812.1,67.0552199130888,4.05,8.69,80.46,11.7,33.70000076293945
2003-02-14,1.5197268724441528,5.011250019073486,0.0,5.080491065979004,4.794875144958496,5.011250019073486,0.0,24967901,1.24,182.6,14614.141,5.8,1.0799,5812.1,67.0552199130888,4.05,8.62,80.46,11.7,32.619998931884766
2003-02-17,1.5643481016159058,5.15838623046875,0.0,5.210316181182861,5.115110874176025,5.15838623046875,0.0,19581402,1.24,182.6,14614.141,5.8,1.0799,5812.1,67.0552199130888,4.05,8.58,80.46,11.7,32.619998931884766
2003-02-18,1.598469853401184,5.270901203155518,0.0,5.288210868835449,5.097801208496094,5.270901203155518,0.0,110906553,1.24,182.6,14614.141,5.8,1.0708,5812.1,67.0552199130888,4.05,8.56,80.46,11.7,31.110000610351562
2003-02-19,1.545974612236023,5.097801208496094,0.0,5.244935989379883,5.097801208496094,5.097801208496094,0.0,29271175,1.24,182.6,14614.141,5.8,1.0744,5812.1,67.0552199130888,4.05,8.53,80.46,11.7,31.309999465942383
2003-02-20,1.5144774913787842,4.9939398765563965,0.0,5.184350967407227,4.96797513961792,4.9939398765563965,0.0,29109118,1.24,182.6,14614.141,5.8,1.0821,5812.1,67.0552199130888,4.05,8.51,80.46,11.7,31.15999984741211
2003-02-21,1.5407263040542603,5.080491065979004,0.0,5.080491065979004,4.93335485458374,5.080491065979004,0.0,27061400,1.24,182.6,14614.141,5.8,1.0787,5812.1,67.0552199130888,4.05,8.42,80.46,11.7,30.25
2003-02-24,1.4934797286987305,4.924699783325195,0.0,5.14107608795166,4.924699783325195,4.924699783325195,0.0,21222186,1.24,182.6,14614.141,5.8,1.0783,5812.1,67.0552199130888,4.05,8.41,80.46,11.7,31.979999542236328
2003-02-25,1.4383596181869507,4.742945194244385,0.0,4.881424903869629,4.742945194244385,4.742945194244385,0.0,33291431,1.24,182.6,14614.141,5.8,1.0782,5812.1,67.0552199130888,4.05,8.45,80.46,11.7,31.739999771118164
2003-02-26,1.4383596181869507,4.742945194244385,0.0,4.872769832611084,4.708324909210205,4.742945194244385,0.0,31153964,1.24,182.6,14614.141,5.8,1.0797,5812.1,67.0552199130888,4.05,8.44,80.46,11.7,31.940000534057617
2003-02-27,1.5092283487319946,4.976630210876465,0.0,4.976630210876465,4.708324909210205,4.976630210876465,0.0,77012636,1.24,182.6,14614.141,5.8,1.0763,5812.1,67.0552199130888,4.05,8.4,80.46,11.7,30.530000686645508
2003-02-28,1.561724305152893,5.149731159210205,0.0,5.175695896148682,4.872769832611084,5.149731159210205,0.0,42760268,1.24,182.6,14614.141,5.8,1.0779,5812.1,67.0552199130888,4.05,8.38,80.46,11.7,29.6299991607666
2003-03-03,1.553849220275879,5.12376594543457,0.0,5.270901203155518,5.1064558029174805,5.12376594543457,0.0,35479662,1.24,182.6,14614.141,5.8,1.0835,5812.1,67.0552199130888,4.05,8.29,80.93,11.6,30.43000030517578
2003-03-04,1.5039794445037842,4.959320068359375,0.0,5.063179969787598,4.881424903869629,4.959320068359375,0.0,31655172,1.24,182.6,14614.141,5.8,1.0883,5812.1,67.0552199130888,4.05,8.31,80.93,11.6,31.829999923706055
2003-03-05,1.5039794445037842,4.959320068359375,0.0,4.976630210876465,4.855460166931152,4.959320068359375,0.0,27319163,1.24,182.6,14614.141,5.8,1.0967,5812.1,67.0552199130888,4.05,8.33,80.93,11.6,30.3799991607666
2003-03-06,1.4777315855026245,4.872769832611084,0.0,5.011250019073486,4.829494953155518,4.872769832611084,0.0,57587222,1.24,182.6,14614.141,5.8,1.0997,5812.1,67.0552199130888,4.05,8.31,80.93,11.6,31.3700008392334
2003-03-07,1.430485486984253,4.71697998046875,0.0,4.829494953155518,4.708324909210205,4.71697998046875,0.0,65190342,1.24,182.6,14614.141,5.8,1.1014,5812.1,67.0552199130888,4.05,8.34,80.93,11.6,31.079999923706055
2003-03-10,1.3806159496307373,4.552535057067871,0.0,4.760254859924316,4.543879985809326,4.552535057067871,0.0,27995019,1.24,182.6,14614.141,5.8,1.1062,5812.1,67.0552199130888,4.05,8.38,80.93,11.6,33.310001373291016
2003-03-11,1.3806159496307373,4.552535057067871,0.0,4.639084815979004,4.50060510635376,4.552535057067871,0.0,31830628,1.24,182.6,14614.141,5.8,1.1028,5812.1,67.0552199130888,4.05,8.33,80.93,11.6,33.61000061035156
2003-03-12,1.3149980306625366,4.336160182952881,0.0,4.604465007781982,4.327505111694336,4.336160182952881,0.0,43650924,1.24,182.6,14614.141,5.8,1.1023,5812.1,67.0552199130888,4.05,8.32,80.93,11.6,33.5099983215332
2003-03-13,1.401613712310791,4.621775150299072,0.0,4.621775150299072,4.379435062408447,4.621775150299072,0.0,40094103,1.24,182.6,14614.141,5.8,1.087,5812.1,67.0552199130888,4.05,8.16,80.93,11.6,31.760000228881836
2003-03-14,1.5276020765304565,5.037215232849121,0.0,5.063179969787598,4.673705101013184,5.037215232849121,0.0,66906457,1.24,182.6,14614.141,5.8,1.0725,5812.1,67.0552199130888,4.05,8.17,80.93,11.6,30.979999542236328
2003-03-17,1.5748473405838013,5.1930060386657715,0.0,5.270901203155518,4.786220073699951,5.1930060386657715,0.0,48641005,1.24,182.6,14614.141,5.8,1.0606,5812.1,67.0552199130888,4.05,8.04,80.93,11.6,31.75
2003-03-18,1.598469853401184,5.270901203155518,0.0,5.4353461265563965,5.167040824890137,5.270901203155518,0.0,66583417,1.24,182.6,14614.141,5.8,1.0624,5812.1,67.0552199130888,4.05,7.91,80.93,11.6,30.43000030517578
2003-03-19,1.619468331336975,5.3401408195495605,0.0,5.452655792236328,5.227625846862793,5.3401408195495605,0.0,35163822,1.24,182.6,14614.141,5.8,1.059,5812.1,67.0552199130888,4.05,7.88,80.93,11.6,31.540000915527344
2003-03-20,1.598469853401184,5.270901203155518,0.0,5.383416175842285,5.097801208496094,5.270901203155518,0.0,39377335,1.24,182.6,14614.141,5.8,1.0613,5812.1,67.0552199130888,4.05,7.84,80.93,11.6,30.440000534057617
2003-03-21,1.692960500717163,5.5824809074401855,0.0,5.5824809074401855,5.296865940093994,5.5824809074401855,0.0,66929639,1.24,182.6,14614.141,5.8,1.0545,5812.1,67.0552199130888,4.05,7.69,80.93,11.6,28.670000076293945
2003-03-24,1.598469853401184,5.270901203155518,0.0,5.461310863494873,5.210316181182861,5.270901203155518,0.0,52277932,1.24,182.6,14614.141,5.8,1.0644,5812.1,67.0552199130888,4.05,7.81,80.93,11.6,30.389999389648438
2003-03-25,1.6352156400680542,5.392070770263672,0.0,5.400725841522217,5.089146137237549,5.392070770263672,0.0,58742825,1.24,182.6,14614.141,5.8,1.0673,5812.1,67.0552199130888,4.05,7.8,80.93,11.6,28.75
2003-03-26,1.6404659748077393,5.409380912780762,0.0,5.521895885467529,5.314176082611084,5.409380912780762,0.0,49543488,1.24,182.6,14614.141,5.8,1.0677,5812.1,67.0552199130888,4.05,7.78,80.93,11.6,28.229999542236328
2003-03-27,1.5958452224731445,5.262246131896973,0.0,5.366106033325195,5.218970775604248,5.262246131896973,0.0,36738974,1.24,182.6,14614.141,5.8,1.0708,5812.1,67.0552199130888,4.05,7.76,80.93,11.6,27.959999084472656
2003-03-28,1.598469853401184,5.270901203155518,0.0,5.322831153869629,5.12376594543457,5.270901203155518,0.0,23504360,1.24,182.6,14614.141,5.8,1.0762,5812.1,67.0552199130888,4.05,7.75,80.93,11.6,27.75
2003-03-31,1.535475730895996,5.063179969787598,0.0,5.115110874176025,5.002594947814941,5.063179969787598,0.0,48043825,1.24,182.6,14614.141,5.8,1.09,5812.1,67.0552199130888,4.05,7.72,80.93,11.6,29.149999618530273
2003-04-01,1.5669728517532349,5.167040824890137,0.0,5.218970775604248,5.089146137237549,5.167040824890137,0.0,33535715,1.26,183.2,14743.567,6.0,1.0904,5905.5,63.1125094945253,3.96,7.61,81.05,11.4,28.360000610351562
2003-04-02,1.6457158327102661,5.426691055297852,0.0,5.461310863494873,5.262246131896973,5.426691055297852,0.0,68472847,1.26,183.2,14743.567,6.0,1.0765,5905.5,63.1125094945253,3.96,7.36,81.05,11.4,28.020000457763672
2003-04-03,1.6850872039794922,5.556516170501709,0.0,5.625755786895752,5.400725841522217,5.556516170501709,0.0,57626459,1.26,183.2,14743.567,6.0,1.0736,5905.5,63.1125094945253,3.96,7.31,81.05,11.4,28.209999084472656
2003-04-04,1.7428314685821533,5.7469258308410645,0.0,5.7469258308410645,5.418035984039307,5.7469258308410645,0.0,91329453,1.26,183.2,14743.567,6.0,1.0711,5905.5,63.1125094945253,3.96,7.24,81.05,11.4,29.1299991607666
2003-04-07,1.7953258752822876,5.920026779174805,0.0,6.049851894378662,5.859440803527832,5.920026779174805,0.0,48473453,1.26,183.2,14743.567,6.0,1.0621,5905.5,63.1125094945253,3.96,7.11,81.05,11.4,28.450000762939453
2003-04-08,1.7795779705047607,5.868095874786377,0.0,5.980611801147461,5.781546115875244,5.868095874786377,0.0,59291969,1.26,183.2,14743.567,6.0,1.0684,5905.5,63.1125094945253,3.96,7.21,81.05,11.4,27.1299991607666
2003-04-09,1.7979505062103271,5.92868185043335,0.0,6.015232086181641,5.660376071929932,5.92868185043335,0.0,53564516,1.26,183.2,14743.567,6.0,1.0722,5905.5,63.1125094945253,3.96,7.31,81.05,11.4,27.110000610351562
2003-04-10,1.7612038850784302,5.807510852813721,0.0,5.902716159820557,5.7469258308410645,5.807510852813721,0.0,53117649,1.26,183.2,14743.567,6.0,1.0803,5905.5,63.1125094945253,3.96,7.28,81.05,11.4,25.600000381469727
2003-04-11,1.7690786123275757,5.8334760665893555,0.0,5.902716159820557,5.772891044616699,5.8334760665893555,0.0,51160859,1.26,183.2,14743.567,6.0,1.0751,5905.5,63.1125094945253,3.96,7.21,81.05,11.4,24.440000534057617
2003-04-14,1.7795779705047607,5.868095874786377,0.0,5.876750946044922,5.703650951385498,5.868095874786377,0.0,30541551,1.26,183.2,14743.567,6.0,1.0773,5905.5,63.1125094945253,3.96,7.12,81.05,11.4,23.40999984741211
